అంకిత	ankita
అందజేయడం	amdajaeyadam
అందజేయాల్సి	amdajaeyaalsi
అందజేశాయి	andajesaai
అందజేశారు	amdajaesaaru
అందజేసి	amdajaesi
అందజేసింది	andajesindi
అందజేస్తాయి	andajestayi
అందజేస్తారు	andajeestaaru
అందజేస్తుంది	andajeesthundi
అందని	andhani
అందనుంది	andanundi
అందమంతా	andamanthaa
అందమైన	andamaina
అందరకూ	amdarakuu
అందరి	andari
అందరికంటే	andarikantae
అందరికన్నా	andarikannaa
అందరికి	andariki
అందరిచేత	amdharicheetha
అందరితో	andaritho
అందరిని	andarini
అందరినీ	andarinee
అందరివాడు	andarivaadu
అందరు	andaru
అందరూ	andaroo
అందర్నీ	andarnee
అందవికారంగా	andavikaarangaa
అందానికి	amdaaniki
అందాన్ని	andaanni
అందాయి	andaayi
అందాల	amdaala
అందాలు	amdaalu
అంది	andi
అందించ	andincha
అందించగల	andinchagala
అందించగా	andinchagaa
అందించటం	amdimchatam
అందించటానికి	andinchataniki
అందించడం	andhinchadam
అందించడంతో	amdimchadamtho
అందించడానికి	amdimchadaaniki
అందించనున్నారు	andhinchanunnaaru
అందించబడతాయి	andhinchabadathaayi
అందించబడిన	andhinchabadina
అందించబడుతుంది	andinchabadutundi
అందించాడు	andinchaadu
అందించాయి	andinchaayi
అందించారు	andichaaru
అందించాలని	andinchaalani
అందించాలి	andinchaali
అందించి	andinchi
అందించింది	andinchindi
అందించిన	andinchina
అందించినందుకు	amdimchinamduku
అందించుట	andinchuta
అందించే	andinche
అందించేందుకు	amdimchaemduku
అందించేది	amdhimchedi
అందించేవారు	amdimchaevaaru
అందింది	andindi
అందిన	andina
అందివ్వాలని	amdivvaalani
అందిస్తాయి	amdistaayi
అందిస్తారు	andhistaaru
అందిస్తుంది	andistundi
అందిస్తున్న	andistunna
అందిస్తున్నట్టు	amdhisthunnattu
అందిస్తున్నది	andistunnadi
అందిస్తున్నాయి	andistunnayi
అందిస్తున్నారు	andhisthunnaaru
అందిస్తూ	andhisthuu
అందిస్తోంది	andistondi
అందు	andhu
అందుకని	andukani
అందుకనే	andhukane
అందుకు	andhuku
అందుకుంటూ	andhukuntoo
అందుకుంది	amdukumdi
అందుకుని	amdukuni
అందుకున్న	amdukunna
అందుకున్నది	amdukunnadi
అందుకున్నాడు	andukunnaadu
అందుకున్నాయి	andhukunnaayi
అందుకున్నారు	andukunnaru
అందుకే	anduke
అందుకోవడానికి	amdukoovadaaniki
అందుకోసం	andukosam
అందుకోసమే	andukosame
అందుచే	andhuche
అందుచేత	anducheta
అందుచేతనే	anduchetane
అందుతాయి	andutaayi
అందుతుంది	andutundi
అందునుండి	andunundi
అందుబాటు	andubatu
అందుబాటులో	andhubaatuloo
అందుబాటులోకి	andhubaatulooki
అందులో	amduloe
అందులోని	amdhulooni
అందులోనూ	andulonoo
అందులోనే	amdhuloonee
అందువలన	anduvalana
అందువలనే	amdhuvalanee
అందువల్ల	amdhuvalla
అందువల్లనే	amduvallanae
అందువల్లే	anduvalle
అందె	ande
అంధ	andha
అంధకార	andhakaara
అంపశయ్య	ampasayya
అంబ	amba
అంబర్	amber
అంబా	ambaa
అంబానీ	ambani
అంబులెన్స్	ambulance
అంబేద్కర్	ambedkar
అంశం	amsham
అంశంగా	amshamgaa
అంశంతో	amshamtho
అంశంపై	amshampai
అంశంలో	amsamloe
అంశతో	amsatoe
అంశానికి	aamsaaniki
అంశాన్ని	amsaanni
అంశాల	amsala
అంశాలకు	amsalaku
అంశాలతో	amshaalatho
అంశాలని	amsaalani
అంశాలను	amsaalanu
అంశాలనే	amsaalanae
అంశాలపై	amshaalapai
అంశాలలో	amsaalaloe
అంశాలు	amsaalu
అంశాలుగా	amsaalugaa
అంశాలున్నాయి	amsaalunnaai
అంశాల్లో	amsaalloo
అంశుమంతుడు	amsumantudu
అకాడమి	akaadami
అకాడమీ	academy
అకాడమీలో	aakaadameelo
అకాడెమి	academy
అకారణంగా	akaaranamga
అకారాది	aakaradi
అకాల	akala
అకుంఠిత	akuntitha
అకౌంటింగ్	accounting
అకౌంటెంట్	accountant
అకౌంట్	account
అక్క	akka
అక్కడ	akkada
అక్కడకి	akkadaki
అక్కడకు	akkadaku
అక్కడక్కడ	akkadakkada
అక్కడక్కడా	akkadakkadaa
అక్కడనుండి	akkadanundi
అక్కడనే	akkadane
అక్కడి	akkadi
అక్కడికి	akkadiki
అక్కడితో	akkaditho
అక్కడినుండి	akkadinundi
అక్కడున్న	akkadunna
అక్కడే	akkade
అక్కను	akkanu
అక్కన్న	akkanna
అక్కర	akkara
అక్కరలేదని	akkaraledani
అక్కర్లేదు	akkarlaedhu
అక్కిరాజు	akkiraaju
అక్టోబరు	aktoobaru
అక్టోబరులో	aktoebaruloe
అక్బరు	akbaru
అక్బర్	akbar
అక్రమరవాణా	akramaravaanaa
అక్వేరియంలో	akvaeriyamloe
అక్షం	aksham
అక్షర	akshara
అక్షరం	aksharam
అక్షరంతో	aksharamthoo
అక్షరమాల	aksharamaala
అక్షరము	aksharamu
అక్షరానికి	aksharaaniki
అక్షరాన్ని	aksharaanni
అక్షరాల	aksharaala
అక్షరాలకు	aksharaalaku
అక్షరాలతో	aksharaalathoo
అక్షరాలా	aksharaalaa
అక్షరాలు	aksaraalu
అక్షరాలే	aksaraale
అక్షరాస్యత	aksharasyatha
అక్షరాస్యతను	aksaraasyatanu
అక్షింతలు	akshintalu
అఖండ	akhanda
అఖిల	akhila
అఖిలభారత	akhilabharatha
అఖిలాంధ్ర	akhilaandhra
అఖిల్	akhil
అగత్యం	agathyam
అగరు	agaru
అగర్వాల్	agarwal
అగస్టా	agastaa
అగస్త్య	agastya
అగస్త్యుడు	agastyudu
అగస్త్యుని	agastyuni
అగు	agu
అగుటకు	agutaku
అగును	agunu
అగ్గి	aggi
అగ్గిపెట్టెలో	aggipetteloe
అగ్నిదేవుడు	agnidevudu
అగ్నిపర్వత	agniparvata
అగ్నిపర్వతం	agniparvatam
అగ్నిప్రమాదంలో	agnipramadamlo
అగ్నిప్రవేశం	agnipravaesam
అగ్నిమాపక	agnimaapaka
అగ్ర	agra
అగ్రగణ్యుడు	agraganyudu
అగ్రగామిగా	agragamiga
అగ్రభాగాన	agrabhagana
అగ్రరాజ్యాల	agraraajyaala
అగ్రస్థానం	agrasdhaanam
అగ్రస్థానంలో	agrasdhaanamloe
అగ్రహారం	agraharam
అగ్రహారంలో	agrahaaramlo
అగ్రికల్చరల్	agricaltaral
అగ్రిమెంట్	agreement
అచంచల	achanchala
అచట	achata
అచ్చంగా	acchamgaa
అచ్చట	acchata
అచ్చతెనుగు	acchatenugu
అచ్చతెలుగు	acchatelugu
అచ్చమాంబ	acchamaanba
అచ్చు	achhu
అచ్చుల	achhula
అచ్చులు	achhulu
అచ్యుత	achyuta
అచ్యుతాపురం	achyutapuram
అజంతా	ajantaa
అజయ్	ajay
అజహరుద్దీన్	azharuddin
అజాగ్రత్తగా	ajaagrattagaa
అజాద్	ajaad
అజిత్	ajith
అజీర్తి	ajeerti
అజ్ఞాత	agnaatha
అజ్ఞాతంలోకి	agnaatamloki
అజ్మల్	ajmal
అటవీ	atavee
అటవీప్రాంతం	ataveepraantam
అటవీశాఖలో	ataveeshaakhalo
అటు	atu
అటుకుల	atukula
అటునుంచి	atununchi
అటుపిమ్మట	atupimmata
అటుపై	atupai
అటువంటి	atuvanti
అటువంటిది	atuvantidi
అటువైపు	atuvaipu
అటూ	atuu
అట్టడుగు	attadugu
అట్టహాసంగా	attahaasangaa
అట్టి	atti
అట్లనే	atlane
అట్లాంటిక్	atlantic
అట్లు	atlu
అట్లే	atle
అడక్కు	adakku
అడగటం	adagatam
అడగడం	adagadam
అడగాలి	adagaali
అడవి	adavi
అడవికి	adaviki
అడవిలో	adavilo
అడవిలోకి	adaviloki
అడవుల	adavula
అడవులకు	adavulaku
అడవులను	adavulanu
అడవులలో	adavulalo
అడవులు	adavulu
అడవుల్లో	adavullo
అడాల్ఫ్	adolf
అడిగాడు	adigaadu
అడిగారు	adigaru
అడిగి	adigi
అడిగింది	adigindi
అడిగిన	adigina
అడిగినపుడు	adiginapudu
అడిగినప్పుడు	adiginappudu
అడిగేవారు	adigevaru
అడివి	adivi
అడుగగా	adugagaa
అడుగు	adugu
అడుగుకు	aduguku
అడుగుతాడు	adugutadu
అడుగుతుంది	aduguthundhi
అడుగున	aduguna
అడుగుపెట్టాడు	adugupettaadu
అడుగుపెట్టారు	adugupettaaru
అడుగుపెట్టింది	adugupettindi
అడుగుపెట్టిన	adugupettina
అడుగుల	adugula
అడుగులకు	adugulaku
అడుగులు	adugulu
అడ్డ	adda
అడ్డంకి	addanki
అడ్డంకులు	addankulu
అడ్డంగా	addamgaa
అడ్డు	addu
అడ్డుకట్ట	addukatta
అడ్డుకుంటుంది	addukuntundi
అడ్డుకుని	addukuni
అడ్డుకోవడం	addukoevadam
అడ్డుగా	addugaa
అడ్డుపడి	addupadi
అడ్డుపడిన	addupadina
అడ్డూ	adduu
అడ్మినిస్ట్రేటివ్	administrative
అడ్మినిస్ట్రేషన్	administration
అడ్మిరల్	admiral
అడ్రస్	address
అడ్వాన్స్	advance
అడ్వాన్స్డ్	advanced
అడ్వెంచర్స్	advenchars
అణకువ	anukuva
అణగారిన	anagaarina
అణచివేత	anachiveta
అణచివేసి	anachivesi
అణు	anu
అణువు	anuvu
అణువుల	anuvula
అణువులు	anuvulu
అతడి	athadi
అతడికి	athadiki
అతడితో	atadito
అతడిని	atadini
అతడీ	atadee
అతడు	atadu
అతడే	atadae
అతణ్ణి	atannee
అతని	athani
అతనికి	athaniki
అతనికున్న	athanikunna
అతనితో	atanito
అతనిని	athanini
అతనిపై	athanipai
అతనిలో	ataniloe
అతనే	atanae
అతి	ati
అతికొద్ది	atikoddi
అతిగా	atigaa
అతిగొప్ప	atigoppa
అతిచిన్న	atichinna
అతితక్కువ	atitakkuva
అతిత్వరగా	atitwaragaa
అతిథి	athithi
అతిథిగా	athithiga
అతిథులు	athithulu
అతినీలలోహిత	athineelalohitha
అతిపెద్ద	atipedda
అతిపెద్దది	atipeddadi
అతిముఖ్యమైన	atimukhyamaina
అతిరథ	atiratha
అతిశయోక్తి	athishayokthi
అతీగతీ	ateegathee
అతీతంగా	ateetamgaa
అతుకు	athuku
అతుకులు	atukulu
అతుక్కుని	atukkuni
అత్త	atta
అత్తరు	attaru
అత్తారింటికి	attarintiki
అత్తిలి	atthili
అత్యంత	athantha
అత్యద్భుతమైన	athyadbhuthamaina
అత్యధిక	atyadhika
అత్యధికంగా	athyadhikangaa
అత్యధికమైన	atyadhikamaina
అత్యధికులు	atyadhikulu
అత్యల్ప	atyalpa
అత్యవసర	atyavasara
అత్యవసరంగా	atyavasaramgaa
అత్యవసరమైన	atyavasaramaina
అత్యాచార	atyachara
అత్యాచారానికి	atyacharaniki
అత్యాధునిక	atyaadhunika
అత్యాశ	athiasha
అత్యుత్తమ	atyuttama
అత్యుత్తమంగా	athyutthsahamgaa
అత్రి	atri
అథారిటీ	aauthority
అథ్లెటిక్	athletic
అదంతా	adantaa
అదనంగా	adanamga
అదనపు	adanapu
అదను	adanu
అదలా	adalaa
అదాలత్	adalath
అదికూడా	adikuda
అదితి	adithi
అదియే	adiye
అదిలాబాదు	adhilaabaadhu
అదిలాబాద్	adilabad
అదివరకు	adivaraku
అదీ	adi
అదృశ్యం	adrusyam
అదృశ్యమైన	adrushyamaina
అదృశ్యరూపంలో	adrisyarupamlo
అదృష్ట	adrushta
అదృష్టం	adrushtam
అదృష్టవంతులు	adhrshatavanthulu
అదే	adae
అదేవిధంగా	adevidangaa
అదేసమయంలో	adaesamayamloe
అదొక	adhoka
అద్దం	addam
అద్దంకి	addamki
అద్దంలో	addamlo
అద్దాన్ని	addanni
అద్దాల	addaala
అద్దాలను	addhaalanu
అద్దె	aadhay
అద్దెకి	aadhayki
అద్దెకు	addeku
అద్దేపల్లి	addepalli
అద్భుత	adbhuta
అద్భుతం	adbhutam
అద్భుతంగా	adbhutamga
అద్భుతమయిన	adbhutamayina
అద్భుతమైన	adbhutamaina
అద్వానీ	advani
అద్వితీయ	advitiya
అద్వితీయంగా	advithiyamga
అద్వైత	advaitha
అధికసంఖ్యలో	adhikasankhyalo
అధికార	adhikaara
అధికారం	adhikaaram
అధికారంతో	adhikaaramtho
అధికారంలో	adhikaaramlo
అధికారంలోకి	adhikaaramloki
అధికారము	adhikaaramu
అధికారమును	adhikaaramunu
అధికారానికి	adhikaraniki
అధికారాన్ని	adhikaranni
అధికారాలను	adhikaralanu
అధికారాలు	adhikaaraalu
అధికారి	adhikaari
అధికారిక	adhikaarika
అధికారికంగా	adhikaarikamgaa
అధికారికి	adhikariki
అధికారిగా	adhikariga
అధికారిని	adhikarini
అధికారులకు	adhikaarulaku
అధికారులను	adhikaarulanu
అధికారులపై	adhikaarulapai
అధికారులు	adhikaarulu
అధికారుల్ని	adhikaarulni
అధికార్లకు	adhikarlaku
అధిగమించారు	adhigaminchaaru
అధిగమించి	adhigaminchi
అధిగమించేందుకు	adhigaminchendhuku
అధినేత	adhineta
అధిపతి	adhipati
అధిపతిగా	adhipathigaa
అధిపతులుగా	adhipathuluga
అధిరోహించాలని	adhirohinchalani
అధిష్టించాడు	adhishtinchaadu
అధిష్టించిన	adhishthinchina
అధిష్ఠాన	adhishtan
అధిష్ఠానం	adhistanam
అధీకృత	adheekruta
అధీనంలో	adheenamlo
అధీనంలోకి	adheenamloki
అధునాతన	adhunaatana
అధ్భుత	adhbutha
అధ్భుతంగా	adbhuthamga
అధ్యక్ష	adhyaksha
అధ్యక్షడు	adhyakshudu
అధ్యక్షత	adhyakhsatha
అధ్యక్షుడికి	adhyakshudiki
అధ్యక్షుడిగా	adhyakshudiga
అధ్యక్షుడు	adhyakshudu
అధ్యక్షుడుగా	adhyakshuduga
అధ్యక్షుడైన	adhyakshudaina
అధ్యక్షుని	adhyakshuni
అధ్యక్షునిగా	adhyakshuniga
అధ్యక్షురాలిగా	adhyakshuraaliga
అధ్యక్షురాలు	adhyakshuraalu
అధ్యక్షులు	adhyakshulu
అధ్యక్షులుగా	adhyakshuluga
అధ్యయన	adhyayana
అధ్యయనానికి	adhyayaaniki
అధ్యయనాన్ని	adhyayaanni
అధ్యయనాల	adhyayanala
అధ్యయనాలు	adhyayanaalu
అధ్యాపక	addhyapaka
అధ్యాపకుడిగా	adhyapakudiga
అధ్యాపకుడు	adhyapakudu
అధ్యాపకునిగా	addhyapakuniga
అధ్యాపకులు	adhyapakulu
అధ్యాపకులుగా	addhyapakuluga
అధ్యాయం	adhyayam
అధ్యాయంలో	adhyayamlo
అధ్యాయము	adhyayamu
అధ్యాయములో	adhyayamulo
అధ్యాయాలలో	adhyayalalo
అధ్వర్యంలో	adhvaryamlo
అనంత	anantha
అనంతం	anantham
అనంతగిరి	ananthagiri
అనంతమైన	anantamaina
అనంతర	anantara
అనంతరం	anantaram
అనంతవరం	ananthavaram
అనంత్	ananth
అనకాపల్లి	anakapalli
అనగనగా	anaganagaa
అనగా	anagaa
అనగానే	anagaane
అనడం	anadam
అనతికాలంలోనే	anatikalamlone
అనధికార	anadhikaara
అనధికారిక	anadhikaarika
అనధికారికంగా	anadhikaarikamga
అననుకూల	ananukoola
అనబడు	anabadu
అనబడే	anabade
అనరాని	anarani
అనర్ధాలు	anardhalu
అనర్హులు	anarhulu
అనవచ్చు	anavacchu
అనవచ్చును	anavacchunu
అనవసర	anavasara
అనవసరం	anavasaram
అనవసరంగా	anavasaramgaa
అనవసరపు	anavasarapu
అనవసరమైన	anavasaramaina
అనసూయ	anasooya
అనస్థీషియా	anastheeshia
అనా	anaa
అనాగరిక	anaagarika
అనాటి	anaati
అనాథ	anaadha
అనాదిగా	anaadhigaa
అనామక	anaamaka
అనారోగ్య	anarogya
అనారోగ్యం	anarogyam
అనారోగ్యంతో	anaaroogyamthoo
అనావృష్టి	anaavrushti
అనాస	anasa
అనాసక్తి	anasakti
అని	ani
అనికూడా	anikuda
అనిత	anita
అనితా	anitaa
అనిపించినా	anipimchinaa
అనిపించుకుంటుంది	anipimchukumtumdi
అనిపించుకున్నాడు	anipimchukunnaadu
అనిపించేది	anipimchaedi
అనిపిస్తాయి	anipistaayi
అనిపిస్తుంది	anipisthundi
అనిబిసెంట్	anibisent
అనియు	aniyu
అనిర్వచనీయమైన	anirvachaneeyamaina
అనిల్	anil
అనిశ్చిత	anischitha
అనిశ్చితంగా	anischitanga
అనిశ్చితి	anischithi
అనీష్	aneesh
అను	anu
అనుంగు	anungu
అనుకరణ	anukarana
అనుకరణలు	anukaranalu
అనుకుంటాడు	anukuntadu
అనుకుంటారు	anukuntaru
అనుకుంటారో	anukuntaro
అనుకుంటున్నాను	anukuntunnanu
అనుకుంటూ	anukuntu
అనుకుంటే	anukunte
అనుకుని	anukuni
అనుకునే	anukune
అనుకున్న	anukunna
అనుకున్నట్టు	anukunnattu
అనుకున్నది	anukunnadi
అనుకున్నా	anukunnaa
అనుకున్నాడు	anukunnadu
అనుకున్నారు	anukunnaaru
అనుకూల	anukula
అనుకూలం	anukulam
అనుకూలంగా	anukulanga
అనుకూలత	anukulata
అనుకూలముగా	anukuulamugaa
అనుకూలమే	anukuulame
అనుకూలమైన	anukuulamaina
అనుకూలమైనది	anukoolamainadi
అనుకూలమైనవి	anukuulamainavi
అనుకూలీకరణ	anukulikarana
అనుకొని	anukoni
అనుకోకుండా	anukokunda
అనుకోని	anukooni
అనుకోవటం	anukovatam
అనుకోవడం	anukovadam
అనుకోవడమే	anukoovadamee
అనుగుణంగానే	anugunamgaane
అనుగ్రహం	anugraham
అనుగ్రహంతో	anugrahamthoo
అనుగ్రహింపుము	anugrahimpumu
అనుచర	anuchara
అనుచరుడు	anucharudu
అనుచరులతో	anucharulatho
అనుచరులను	anucharulanu
అనుచరులు	anucharulu
అనుచిత	anuchitha
అనుజ్ఞ	anugna
అనునవి	anunavi
అనుపల్లవి	anupallavi
అనుబంధ	anubanda
అనుబంధం	anubandam
అనుబంధంగా	anubandamgaa
అనుబంధాలు	anubandhalu
అనుభవ	anubhava
అనుభవం	anubhavam
అనుభవంతో	anubhavamtho
అనుభవంలో	anubhavamlo
అనుభవంలోకి	anubhavamloki
అనుభవజ్ఞులు	anubhavagnulu
అనుభవము	anubhavamu
అనుభవమే	anubhavame
అనుభవానికి	anubhavaaniki
అనుభవాన్ని	anubhavaanni
అనుభవాల	anubhavaala
అనుభవాలను	anubhavaalanu
అనుభవాలు	anubhavaalu
అనుభవించ	anubhavincha
అనుభవించక	anubhavinchaka
అనుభవించాడు	anubhavinchaadu
అనుభవించారు	anubhavinchaaru
అనుభవించాలి	anubhavinchaali
అనుభవించి	anubavinchi
అనుభవించిన	anubhavimchina
అనుభవించే	anubavinchee
అనుభవిస్తాడు	anubavistaadu
అనుభవిస్తారు	anubavistaaru
అనుభవిస్తున్న	anubhavistunna
అనుభవిస్తున్నారని	anubhavisthunnaarani
అనుభూతులకు	anubhoothulaku
అనుభూతులను	anubhoothulanu
అనుమతి	anumati
అనుమతించడం	anumatinchadam
అనుమతించారు	anumathinchaaru
అనుమతించింది	anumathinchindhi
అనుమతించిన	anumathinchina
అనుమతించినందుకు	anumathinchinandhuku
అనుమతించే	anumathinche
అనుమతితో	anumatito
అనుమతిని	anumatini
అనుమతిస్తాయి	anumatistaayi
అనుమతిస్తారు	anumathisthaaru
అనుమతిస్తుంది	anumathisthundhi
అనుమతులను	anumathulanu
అనుమతులు	anumathulu
అనుమానం	anumaanam
అనుమానాలు	anumaanaalu
అనుమానాస్పద	anumaanaaspada
అనుమితి	anumithi
అనుముల	anumula
అనుయాయులు	anuyaayulu
అనువదించబడింది	anuvadinchabadindi
అనువదించాడు	anuvadinchaadu
అనువదించారు	anuvadinchaaru
అనువదించి	anuvadinchi
అనువదించిన	anuvadinchina
అనువర్తన	anuvarthana
అనువర్తనం	anuvarthanam
అనువర్తనాలు	anuvarthanaalu
అనువర్తిత	anuvarthitha
అనువాద	anuvaadha
అనువాదం	anuvaadam
అనువాదకుడు	anuvaadakudu
అనువాదము	anuvaadamu
అనువాదాలు	anuvaadaalu
అనువు	anuvu
అనువుగా	anuvugaa
అనువైన	anuvaina
అనువైనది	anuvainadi
అనుష్క	anushka
అనుసంధాన	anusaandhaana
అనుసంధానం	anusandaanam
అనుసంధానాన్ని	anusandhaanaanni
అనుసంధానించబడి	anusandaaninchabadi
అనుసరించడం	anusarinchadam
అనుసరించడానికి	anusarinchadaaniki
అనుసరించవలసిన	anusarinchavalasina
అనుసరించాయి	anusarinchayi
అనుసరించారు	anusarincharu
అనుసరించాల్సి	anusarinchalsi
అనుసరించి	anusarinchi
అనుసరించింది	anusarinchindi
అనుసరించిన	anusarinchina
అనుసరించే	anusarinche
అనుసరిస్తుంది	anusaristundi
అనుసరిస్తున్న	anusaristunna
అనుసరిస్తూ	anusaristoo
అనూ	anoo
అనూహ్య	anoohya
అనూహ్యంగా	anoohyamgaa
అనే	ane
అనేక	aneka
అనేకం	anekam
అనేకమంది	anekamandi
అనేకమందిని	anekamandini
అనేకమైన	anekamaina
అనేకసార్లు	anekasaarlu
అనేకానేక	anekaaneka
అనేకులు	anekulu
అనేదాన్ని	anaedaanni
అనేది	anaedi
అనేవాడు	anaevaadu
అనేవారు	anaevaaru
అనొచ్చు	anochu
అనౌన్సర్	announcar
అన్న	anna
అన్నం	annam
అన్నంలో	annamlo
అన్నకు	annaku
అన్నగారు	annagaru
అన్నట్లు	annatlu
అన్నట్లుగా	annatlugaa
అన్నదమ్ములు	annadammulu
అన్నది	annadi
అన్నపూర్ణ	annapoorna
అన్నమయ్య	annamayya
అన్నమాచార్య	annamaachaarya
అన్నమాట	annamaata
అన్నము	annamu
అన్నయ్య	annayya
అన్నయ్యా	annayya
అన్నలు	annalu
అన్నవరం	annavaram
అన్నవాహిక	annavaahika
అన్నవి	annavi
అన్నాడు	annaadu
అన్నారం	annaram
అన్నారు	annaru
అన్నింటి	anninti
అన్నింటికన్నా	annintikannaa
అన్నింటిని	annintini
అన్నిచోట్ల	annichotla
అన్నిటికంటే	annitikante
అన్నిటికన్నా	annitikannaa
అన్నిటినీ	annitinee
అన్నిటిలో	annitilo
అన్నిరకాల	annirakaala
అన్నివైపులా	annivaipula
అన్నే	anne
అన్యమత	anyamatha
అన్యాయం	anyayam
అన్యాయమైన	anyayamaina
అన్యాయాన్ని	anyayanni
అన్యాయాలు	anyayalu
అన్యోన్యంగా	anyonyamga
అన్వయం	anvayam
అన్వేషకుడు	anveshakudu
అన్వేషణ	anveeshana
అపజయం	apajayam
అపనింద	apaninda
అపరాధ	aparaadha
అపరిమిత	aparimitha
అపరిమితంగా	aparimitamgaa
అపవిత్రంగా	apavithramga
అపశృతి	apasruti
అపహరించి	apaharinchi
అపాయం	apaayam
అపార	apaara
అపారమైన	apaaramaina
అపార్థాలు	apaardhaalu
అపురూప	apuroopa
అపురూపంగా	apuroopangaa
అపురూపమైన	apuroopamaina
అపూర్వ	apuurva
అపూర్వం	apuurvam
అపోలో	apollo
అపోహ	apooha
అపోహలతో	apohalatho
అపోహలను	apohalanu
అపోహలు	apohalu
అప్నియా	aapnoea
అప్పగించాడు	appaginchaadu
అప్పగించారు	appagincharu
అప్పగించాలని	appaginchaalani
అప్పగించి	appaginchi
అప్పగించింది	appaginchindi
అప్పగించిన	appaginchina
అప్పగించు	appaginchu
అప్పటి	appati
అప్పటికప్పుడు	appatikappudu
అప్పటికప్పుడే	appatikappuday
అప్పటికి	appatiki
అప్పటికీ	appatikii
అప్పటికే	appatikae
అప్పటిదాకా	appatidaakaa
అప్పటినుంచి	appatinunchi
అప్పటినుండి	appatinundi
అప్పటివరకు	appativaraku
అప్పటివరకూ	appativarakuu
అప్పట్లో	appatloo
అప్పట్లోనే	appatlonae
అప్పన్న	appanna
అప్పారావు	appaaraavu
అప్పీలు	appealu
అప్పీల్	appeal
